unimorph_iso	INF	PST.SG	PST.PL	PTCP
isl	giska	giskar	giskuðu	giskað
isl	lama	lamaði	lömuðu	lamað
isl	drynja	drynur	drundu	drunið
isl	hópa	hópaði	hópuðu	hópað
isl	trekkja	trekkti	trekktu	trekkt
isl	jarma	jarmar	jörmuðu	jarmað
isl	svíkja	sveik	sviku	svikið
isl	þamba	þambaði	þömbuðu	þambað
isl	einkenna	einkenndi	einkenndu	einkennt
isl	penta	pentaði	pentuðu	pentað
isl	nýta	nýtti	nýttu	nýtt
isl	linna	linnti	linntu	linnt
isl	metta	mettaði	mettuðu	mettað
isl	dafna	dafnar	döfnuðu	dafnað
isl	mjálma	mjálmar	mjálmuðu	mjálmað
isl	stækka	stækkaði	stækkuðu	stækkað
isl	hrekja	hrakti	hröktu	hrakið
isl	kasta	kastaði	köstuðu	kastað
isl	gelda	gelti	geltu	gelt
isl	keppa	keppti	kepptu	keppt
isl	hnerra	hnerrar	hnerruðu	hnerrað
isl	salta	saltaði	söltuðu	saltað
isl	slútta	slúttaði	slúttuðu	slúttað
isl	hjóla	hjólaði	hjóluðu	hjólað
isl	tína	tíndi	tíndu	tínt
isl	nudda	nuddaði	nudduðu	nuddað
isl	dorma	dormaði	dormuðu	dormað
isl	egna	egndi	egndu	egnt
isl	depra	depraði	depruðu	deprað
isl	hefla	heflaði	hefluðu	heflað
isl	nota	notaði	notuðu	notað
isl	fegra	fegraði	fegruðu	fegrað
isl	stama	stamar	stömuðu	stamað
isl	fægja	fægði	fægðu	fægt
isl	dekka	dekkaði	dekkuðu	dekkað
isl	keyra	keyrði	keyrðu	keyrt
isl	fæla	fældi	fældu	fælt
isl	kvísla	kvíslaði	kvísluðu	kvíslað
isl	feykja	feykti	feyktu	feykt
isl	sjúga	saug	sugu	sogið
isl	spæla	spældi	spældu	spælt
isl	hefja	hóf	hófu	hafið
isl	belgja	belgdi	belgdu	belgt
isl	riða	riðar	riðuðu	riðað
isl	bifa	bifaði	bifuðu	bifað
isl	slúðra	slúðraði	slúðruðu	slúðrað
isl	klappa	klappaði	klöppuðu	klappað
isl	klóra	klóraði	klóruðu	klórað
isl	miða	miðaði	miðuðu	miðað
isl	borða	borðaði	borðuðu	borðað
isl	kjassa	kjassaði	kjössuðu	kjassað
isl	endurnýja	endurnýjaði	endurnýjuðu	endurnýjað
isl	mynda	myndaði	mynduðu	myndað
isl	krýna	krýndi	krýndu	krýnt
isl	græða	græddi	græddu	grætt
isl	fresta	frestaði	frestuðu	frestað
isl	laga	lagaði	löguðu	lagað
isl	rykkja	rykkti	rykktu	rykkt
isl	tengja	tengjaði	tengjuðu	tengjað
isl	blína	blínir	blíndu	blínt
isl	fletta	fletti	flettu	flett
isl	hneykja	hneykti	hneyktu	hneykt
isl	haltra	haltrar	höltruðu	haltrað
isl	kyssa	kyssti	kysstu	kysst
isl	melda	meldaði	melduðu	meldað
isl	umkringja	umkringdi	umkringdu	umkringt
isl	pirra	pirraði	pirruðu	pirrað
isl	stafla	staflaði	stöfluðu	staflað
isl	ylja	yljaði	yljuðu	yljað
isl	dekkja	dekkti	dekktu	dekkt
isl	pata	patar	pötuðu	patað
isl	vökva	vökvaði	vökvuðu	vökvað
isl	þylja	þuldi	þuldu	þulið
isl	lemja	lamdi	lömdu	lamið
isl	skellihlæja	skellihló	skellihlógu	skellihlegið
isl	skrafa	skrafar	skröfuðu	skrafað
isl	útiloka	útilokaði	útilokuðu	útilokað
isl	flengja	flengdi	flengdu	flengt
isl	kvarta	kvartaði	kvörtuðu	kvartað
isl	plaga	plagaði	plöguðu	plagað
isl	blekkja	blekkti	blekktu	blekkt
isl	efa	efaði	efuðu	efað
isl	steikja	steikti	steiktu	steikt
isl	hrókera	hrókerar	hrókeruðu	hrókerað
isl	glundra	glundraði	glundruðu	glundrað
isl	grobba	grobbar	grobbuðu	grobbað
isl	rúma	rúmaði	rúmuðu	rúmað
isl	hrósa	hrósaði	hrósuðu	hrósað
isl	sverta	sverti	svertu	svert
isl	baldýra	baldýraði	baldýruðu	baldýrað
isl	hnýta	hnýtti	hnýttu	hnýtt
isl	vernda	verndaði	vernduðu	verndað
isl	mylja	muldi	muldu	mulið
isl	hrópa	hrópaði	hrópuðu	hrópað
isl	lána	lánaði	lánuðu	lánað
isl	skalla	skallaði	skölluðu	skallað
isl	plokka	plokkaði	plokkuðu	plokkað
isl	skíra	skírði	skírðu	skírt
isl	vígja	vígði	vígðu	vígt
isl	ónáða	ónáðaði	ónáðuðu	ónáðað
isl	aka	ók	óku	ekið
isl	rífast	rífst	rifust	rifist
isl	farga	fargar	förguðu	fargað
isl	undantaka	undantók	undantóku	undantekið
isl	klára	kláraði	kláruðu	klárað
isl	færa	færði	færðu	fært
isl	eygja	eygði	eygðu	eygt
isl	prútta	prúttar	prúttuðu	prúttað
isl	endurræsa	endurræsti	endurræstu	endurræst
isl	tryggja	tryggði	tryggðu	tryggt
isl	ræna	rændi	rændu	rænt
isl	dissa	dissaði	dissuðu	dissað
isl	skruma	skrumar	skrumuðu	skrumað
isl	fappa	fappar	föppuðu	fappað
isl	hrista	hristi	hristu	hrist
isl	skíta	skeit	skitu	skitið
isl	votta	vottaði	vottuðu	vottað
isl	reyna	reyndi	reyndu	reynt
isl	bródera	bróderaði	bróderuðu	bróderað
isl	herpa	herpti	herptu	herpt
isl	poppa	poppaði	poppuðu	poppað
isl	hrína	hrín	hrinu	hrinið
isl	sefa	sefaði	sefuðu	sefað
isl	olla	ollar	olluðu	ollað
isl	einrækta	einræktaði	einræktuðu	einræktað
isl	ryðga	ryðgaði	ryðguðu	ryðgað
isl	kalla	kallaði	kölluðu	kallað
isl	rægja	rægði	rægðu	rægt
isl	gjalda	galt	guldu	goldið
isl	hagnýta	hagnýtti	hagnýttu	hagnýtt
isl	blotna	blotnar	blotnuðu	blotnað
isl	fjölga	fjölgar	fjölguðu	fjölgað
isl	dásama	dásamaði	dásömuðu	dásamað
isl	njóta	naut	nutu	notið
isl	stilla	stillti	stilltu	stillt
isl	knýja	knúði	knúðu	knúið
isl	elta	elti	eltu	elt
isl	megra	megraði	megruðu	megrað
isl	vista	vistaði	vistuðu	vistað
isl	skynja	skynjaði	skynjuðu	skynjað
isl	skreyta	skreytti	skreyttu	skreytt
isl	kyrkja	kyrkti	kyrktu	kyrkt
isl	lasta	lastaði	löstuðu	lastað
isl	afsanna	afsannaði	afsönnuðu	afsannað
isl	grenja	grenjar	grenjuðu	grenjað
isl	framkvæma	framkvæmdi	framkvæmdu	framkvæmt
isl	ýfa	ýfði	ýfðu	ýft
isl	glepja	glapti	glöptu	glapið
isl	deita	deitar	deituðu	deitað
isl	hæða	hæddi	hæddu	hætt
isl	yngja	yngdi	yngdu	yngt
isl	rukka	rukkaði	rukkuðu	rukkað
isl	buga	bugaði	buguðu	bugað
isl	athuga	athugaði	athuguðu	athugað
isl	hlakka	hlakkar	hlökkuðu	hlakkað
isl	lýsa	lýsti	lýstu	lýst
isl	skræla	skrældi	skrældu	skrælt
isl	hengja	hengdi	hengdu	hengt
isl	finnast	finnst	fundust	fundist
isl	skokka	skokkaði	skokkuðu	skokkað
isl	unga	ungaði	unguðu	ungað
isl	hlera	hleraði	hleruðu	hlerað
isl	þrútna	þrútnaði	þrútnuðu	þrútnað
isl	raða	raðaði	röðuðu	raðað
isl	hegða	hegðar	hegðuðu	hegðað
isl	makka	makkaði	mökkuðu	makkað
isl	kræla	krælir	krældu	krælt
isl	stjórna	stjórnaði	stjórnuðu	stjórnað
isl	létta	létti	léttu	létt
isl	ymja	ymur	umdu	umið
